item_id,tên,loại,độ_hiếm,sức_công,phòng_thủ,kháng_phép,giá,yếu_tố,độ_bền,độ_khó_chế_tạo,đánh_giá_của_người_chơi,tần_suất_sử_dụng,điểm_số_meta
1,Kiếm của Valor,Vũ khí,Huyền thoại,85,20,10,500,Vật lý,90,Cao,4.7,0.75,92
2,Shield Aegis,Giáp,Huyền ảo,15,90,40,450,Bảo vệ,85,Trung bình,4.5,0.65,88
3,Sách Ma Thuật Arcane,Ma thuật,Huyền bí,60,30,75,600,Ma thuật,75,Rất cao,4.8,0.55,95
4,Cung Thunderbolt,Tầm xa,Huyền ảo,70,25,20,350,Yếu tố,80,Thấp,4.2,0.45,82
5,Giáp Vảy Rồng,Giáp,Huyền thoại,30,95,50,750,Bảo vệ,95,Rất cao,4.9,0.80,96
6,Kiếm Lưỡi Lửa,Vũ khí,Huyền ảo,90,15,5,600,Lửa,80,Trung bình,4.6,0.70,90
7,Shield Băng,Rất hiếm,Giáp,10,85,50,400,Băng,75,Thấp,4.3,0.60,85
8,Cán Ma Thuật,Ma thuật,Huyền thoại,50,20,80,700,Ma thuật,90,Cao,4.9,0.50,94
9,Crossbow Chính Xác,Tầm xa,Huyền ảo,75,10,15,550,Vật lý,70,Trung bình,4.4,0.55,89
10,Giáp Plate,Rất hiếm,Giáp,5,100,20,500,Bảo vệ,85,Trung bình,4.2,0.65,83
11,Dagger Bóng,Tầm xa,Huyền bí,80,5,10,650,Tối,60,Cao,4.8,0.40,91
12,Rìu Chiến,Vũ khí,Huyền ảo,95,10,5,600,Vật lý,75,Trung bình,4.5,0.50,87
13,Áo Robe của Archmage,Ma thuật,Huyền thoại,20,5,100,800,Ma thuật,70,Rất cao,4.9,0.45,93
14,Găng Tay Sức Mạnh,Rất hiếm,Giáp,0,30,0,300,Vật lý,80,Thấp,4.3,0.55,86
15,Trident của Biển,Vũ khí,Huyền thoại,70,15,25,700,Nước,85,Cao,4.7,0.60,92
16,Mũ Insight,Giáp,Huyền ảo,0,10,60,400,Ma thuật,90,Trung bình,4.6,0.50,88
17,Cung Dài của Rừng,Tầm xa,Rất hiếm,65,5,15,350,Yếu tố,75,Thấp,4.2,0.55,84
18,Shields của Tổ Tiên,Giáp,Huyền bí,5,95,45,750,Bảo vệ,85,Rất cao,4.8,0.70,95
